jonesde02:Jones,Derrick
hasleud01:Haslem,Udonis
robindu01:Robinson,Duncan
matenya01:Maten,Yante
lowryky01:Lowry,Kyle
leonaka01:Leonard,Kawhi
siakapa01:Siakam,Pascal
greenda02:Green,Danny
gasolma01:Gasol,Marc
vanvlfr01:VanVleet,Fred
powelno01:Powell,Norman
ibakase01:Ibaka,Serge
anunoog01:Anunoby,OG
bouchch01:Boucher,Chris
meeksjo01:Meeks,Jodie
millema01:Miller,Malcolm
linje01:Lin,Jeremy
arcidry01:Arcidiacono,Ryan
lopezro01:Lopez,Robin
harrish01:Harrison,Shaquille
luwawti01:Luwawu-Cabarrot,Timothé
seldewa01:Selden,Wayne
sampsja02:Sampson,JaKarr
sampsbr01:Sampson,Brandon
lemonwa01:Lemon,Walt
feliccr01:Felício,Cristiano
alkinra01:Alkins,Rawle
blakean01:Blakeney,Antonio
willima02:Williams,Marvin
doncilu01:Dončić,Luka
klebima01:Kleber,Maxi
antetko01:Antetokounmpo,Kostas
kuzmaky01:Kuzma,Kyle
smithzh01:Smith,Zhaire
simmobe01:Simmons,Ben
harrito02:Harris,Tobias
butleji01:Butler,Jimmy
boldejo01:Bolden,Jonah
simmojo02:Simmons,Jonathon
mccontj01:McConnell,T.J.
marjabo01:Marjanović,Boban
monrogr01:Monroe,Greg
johnsam01:Johnson,Amir
miltosh01:Milton,Shake
highsha01:Highsmith,Haywood
korkmfu01:Korkmaz,Furkan
anderry01:Anderson,Ryan
loydjo01:Loyd,Jordan
moreler01:Moreland,Eric
evansja02:Evans,Jacob
derrima01:Derrickson,Marcus
murraja01:Murray,Jamal
millspa01:Millsap,Paul
jokicni01:Jokić,Nikola
favorde01:Favors,Derrick
yabusgu01:Yabusele,Guerschon
doziepj01:Dozier,PJ
hunterj01:Hunter,R.J.
gibsojo01:Gibson,Jonathan
arizatr01:Ariza,Trevor
evansty01:Evans,Tyreke
johnsal02:Johnson,Alize
pinsoth01:Pinson,Theo
musadz01:Musa,Džanan
willial03:Williams,Alan
caupatr01:Caupain,Troy
kiddgmi01:Kidd-Gilchrist,Michael
gibsota01:Gibson,Taj
beverpa01:Beverley,Patrick
greenja01:Green,JaMychal
iguodan01:Iguodala,Andre
evansja01:Evans,Jawun
caldejo01:Calderón,José
allenka01:Allen,Kadeem
hutchch01:Hutchison,Chandler
scottmi01:Scott,Mike
trentga02:Trent,Gary
eubandr01:Eubanks,Drew
embiijo01:Embiid,Joel
redicjj01:Redick,J.J.
rubiori01:Rubio,Ricky
netora01:Neto,Raul
korveky01:Korver,Kyle
harteis01:Hartenstein,Isaiah
mirotni01:Mirotić,Nikola
brogdma01:Brogdon,Malcolm
ennisja01:Ennis,James
mccawpa01:McCaw,Patrick
frazimi01:Frazier,Michael
jonesda03:Jones,Damian
jamesle01:James,LeBron
bradlav01:Bradley,Avery
howardw01:Howard,Dwight
norveza01:Norvell,Zach
mannte01:Mann,Terance
kabenmf01:Kabengele,Mfiondu
holidjr01:Holiday,Jrue
ingrabr01:Ingram,Brandon
balllo01:Ball,Lonzo
hartjo01:Hart,Josh
mellini01:Melli,Nicolò
mooreet01:Moore,E'Twaun
alexani01:Alexander-Walker,Nickeil
hayesja02:Hayes,Jaxson
daviste02:Davis,Terence
hernade01:Hernandez,Dewan
thomama02:Thomas,Matt
teaguje01:Teague,Jeff
covinro01:Covington,Robert
culveja01:Culver,Jarrett
vonleno01:Vonleh,Noah
martike03:Martin,Kelan
markkla01:Markkanen,Lauri
lavinza01:LaVine,Zach
cartewe01:Carter,Wendell
porteot01:Porter,Otto
whiteco01:White,Coby
dunnkr01:Dunn,Kris
gaffoda01:Gafford,Daniel
valende01:Valentine,Denzel
washipj01:Washington,P.J.
zelleco01:Zeller,Cody
martica02:Martin,Caleb
hachiru01:Hachimura,Rui
schofad01:Schofield,Admiral
mathega01:Mathews,Garrison
robinju01:Robinson,Justin
porzikr01:Porziņģis,Kristaps
hardati02:Hardaway,Tim
robyis01:Roby,Isaiah
bareajo01:Barea,J.J.
rosede01:Rose,Derrick
mykhasv01:Mykhailiuk,Svi
warretj01:Warren,T.J.
bitadgo01:Bitadze,Goga
jacksja02:Jackson,Jaren
moranja01:Morant,Ja
brookdi01:Brooks,Dillon
valanjo01:Valančiūnas,Jonas
gudurma01:Guduric,Marko
clarkbr01:Clarke,Brandon
anderky01:Anderson,Kyle
herroty01:Herro,Tyler
nunnke01:Nunn,Kendrick
silvach01:Silva,Chris
okpalkz01:Okpala,KZ
